127.0.0.1 - - [12/Feb/2026:15:49:07 +0530] "GET / HTTP/1.1" 200 11237
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:49:55 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:49:55 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:50:10 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:50:10 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:50:25 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:50:25 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:50:40 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:50:40 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:50:40 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:54:31 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:54:31 +0530] "GET /lab4/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:54:37 +0530] "POST /lab4/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:54:37 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:54:39 +0530] "GET /lab4/startTest.jsp?testId=test1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:54:39 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:54:42 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:54:42 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:54:57 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:54:57 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:01 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:01 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:01 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:02 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:02 +0530] "GET /lab4/startTest.jsp?testId=test2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:02 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:06 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:06 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:07 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:07 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:09 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:09 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:09 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:10 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:11 +0530] "GET /lab4/startTest.jsp?testId=test2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:11 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:14 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:14 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:15 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:15 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:16 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:16 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:16 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:55:17 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:12 +0530] "GET /lab4/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:12 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:14 +0530] "POST /lab4/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:14 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:17 +0530] "GET /lab4/startTest.jsp?testId=test1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:17 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:32 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:32 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:38 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:38 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:41 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:41 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:41 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:43 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:45 +0530] "GET /lab4/startTest.jsp?testId=test2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:45 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:48 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:57:48 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:58:07 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:58:07 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:58:22 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:58:22 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:58:22 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:58:38 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:58:38 +0530] "GET /lab4/style.css HTTP/1.1" 304 -
